username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MarinMcCeaux;2015-02-01 04:51;0;0;"With my fav giraffe/grumbly Broncos fan... #MardiGras #SB49 #GoHawks #maybepeytonisntoldandbroken @… http:// instagram.com/p/yi7nX7LoDN/";;@;#MardiGras #SB49 #GoHawks #maybepeytonisntoldandbroken;"561748738205810688";https://twitter.com/MarinMcCeaux/status/561748738205810688
gracestern;2015-02-01 04:49;0;2;"4 for 4 #krewedevieux #mardigras @Royal Street - French Quarter http:// instagram.com/p/yi7VvVkOmZ/";;@Royal;#krewedevieux #mardigras;"561748132779008001";https://twitter.com/gracestern/status/561748132779008001
NGBrewing;2015-02-01 04:40;0;0;"Thank you @WayfareNola , perfect #KreweDuVieux eat space #MardiGras";;@WayfareNola;#KreweDuVieux #MardiGras;"561745785792892928";https://twitter.com/NGBrewing/status/561745785792892928
darrellgerard;2015-02-01 04:31;0;0;"@Snapchat better have a story for #MardiGras !!!";;@Snapchat;#MardiGras;"561743690213761024";https://twitter.com/darrellgerard/status/561743690213761024
MadisHELL716;2015-02-01 04:30;0;0;"Found the BK King in neon. #NOLA #MardiGras #burgerking @Hi-Ho Lounge http:// instagram.com/p/yi5IOsDXWO/";;@Hi;#NOLA #MardiGras #burgerking;"561743270372712448";https://twitter.com/MadisHELL716/status/561743270372712448
KoesterDylan;2015-02-01 04:18;0;6;"Holy fuck #MardiGras is the best thing I've ever experienced. I'm gonna live in this city for the rest of my life pic.twitter.com/LMjkMaqNWY";;;#MardiGras;"561740427800244224";https://twitter.com/KoesterDylan/status/561740427800244224
nslade713;2015-02-01 04:18;0;2;"#MardiGras is something I'm gonna remember for the rest of my life. I'm in love with New Orleans.";;;#MardiGras;"561740396321964033";https://twitter.com/nslade713/status/561740396321964033
MarinMcCeaux;2015-02-01 04:17;0;0;""I've already peed on my leotard" #MardiGras #makethemnotice @Emeril's New Orleans http:// instagram.com/p/yi3sQoLoMx/";;@Emeril;#MardiGras #makethemnotice;"561740111151661056";https://twitter.com/MarinMcCeaux/status/561740111151661056
ChrisVignes;2015-02-01 04:12;0;2;"#kreweduvieux #MardiGras #Nola @Frenchmen Street http:// instagram.com/p/yi3ILPL320/";;@Frenchmen;#kreweduvieux #MardiGras #Nola;"561738870120022017";https://twitter.com/ChrisVignes/status/561738870120022017
RENUjewelry;2015-02-01 04:02;0;0;"Holy Mary! #thepub #neworleansdesigner #renujewelrynola #mardigras #loa @Bourbon Pub and Parade http:// instagram.com/p/yi2BYTxG3y/";;@Bourbon;#thepub #neworleansdesigner #renujewelrynola #mardigras #loa;"561736437692112897";https://twitter.com/RENUjewelry/status/561736437692112897
_yungsatchmo;2015-02-01 04:00;0;1;"Rollin' with my LB @al_lyxxer #Photobombed !! #KreweDeVieux #DaBruhz #MardiGras … http:// instagram.com/p/yi1tlfSTHI/";;@al_lyxxer;#Photobombed #KreweDeVieux #DaBruhz #MardiGras;"561735757900296193";https://twitter.com/_yungsatchmo/status/561735757900296193
ChrisVignes;2015-02-01 03:51;0;0;"#Nola #MardiGras @Frenchmen Art Market http:// instagram.com/p/yi0wMmL3zH/";;@Frenchmen;#Nola #MardiGras;"561733647888560128";https://twitter.com/ChrisVignes/status/561733647888560128
Marcelldakidd;2015-02-01 03:46;0;0;"#mardigras #kerewduVieux #frenchquarter #nola #PicsArt @Decatur Street http:// instagram.com/p/yi0F2SJUi7/";;@Decatur;#mardigras #kerewduVieux #frenchquarter #nola #PicsArt;"561732193626902528";https://twitter.com/Marcelldakidd/status/561732193626902528
ileanakortiz;2015-02-01 03:26;0;0;"First parade of the year! Happy Mardi Gras! #kreweduvieux #mardigras #sparklysailor #bighair … http:// instagram.com/p/yixz53QZDE/";;;#kreweduvieux #mardigras #sparklysailor #bighair;"561727179105779713";https://twitter.com/ileanakortiz/status/561727179105779713
wigginstock;2015-02-01 03:17;0;2;"this is the real. #nola #neworleans #mardigras #wildmagnolias @The Stand Up Double http:// instagram.com/p/yiw1B2pQgu/";;@The;#nola #neworleans #mardigras #wildmagnolias;"561725018510741505";https://twitter.com/wigginstock/status/561725018510741505
christylorio;2015-02-01 03:06;0;0;"Krewe Du Vieux with this guy. #MardiGras @Angeli On Decatur http:// instagram.com/p/yiq5tsgqlv/";;@Angeli;#MardiGras;"561722217650991104";https://twitter.com/christylorio/status/561722217650991104
christylorio;2015-02-01 03:06;0;0;"Happy #MardiGras y'all. @Angeli On Decatur http:// instagram.com/p/yiqnDzgqlP/";;@Angeli;#MardiGras;"561722133269975041";https://twitter.com/christylorio/status/561722133269975041
maria_ivakova;2015-02-01 02:29;0;2;"AWESOME!!!!!! #mardigras @FrenchQuarter NewOrleans http:// instagram.com/p/yirWAeigPe/";;@FrenchQuarter;#mardigras;"561712957131067393";https://twitter.com/maria_ivakova/status/561712957131067393
